Markets: *:spot:btc-usd
Quote size: 10
Synced with:  {'krkn'}
{'ask': 34588.0106077506, 'bid': 36229.078113095966, 'spread': 1641.067505345367}
{'ask': 34588.0106077506, 'bid': 36229.078113095966, 'spread': 1641.067505345367}
{'ask': 34588.0106077506, 'bid': 36229.078113095966, 'spread': 1641.067505345367}
{'ask': 34588.0106077506, 'bid': 36229.078113095966, 'spread': 1641.067505345367}
{'ask': 34588.0106077506, 'bid': 36229.078113095966, 'spread': 1641.067505345367}
{'ask': 34588.0106077506, 'bid': 36229.078113095966, 'spread': 1641.067505345367}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
{'ask': 34587.8889357102, 'bid': 36229.078113095966, 'spread': 1641.1891773857642}
